normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
神奈川県横浜市中区小港町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区尾上町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区尾上町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区尾上町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区尾上町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区尾上町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区尾上町6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山下町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山元町1丁目,chome,landslide_special,0.0034,0.0068,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山元町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山元町3丁目,chome,landslide_special,0.007,0.0139,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山元町4丁目,chome,landslide_special,0.0236,0.0471,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山元町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山吹町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山手町,chome,landslide_special,0.0445,0.0891,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区山田町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区常盤町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区常盤町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区常盤町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区常盤町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区常盤町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区常盤町6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弁天通1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弁天通2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弁天通3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弁天通4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弁天通5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弁天通6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弥生町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弥生町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弥生町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区弥生町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
