family,city_jis,city_name,segment,rate_value,sample_count,source,stat_basis,period,acquired_on
KODATE_BUY,12223,鴨川市,FLOOR_SQM,54356,24,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12223,鴨川市,LAND_SQM,19733,26,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12224,鎌ケ谷市,FLOOR_SQM,230769,143,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12224,鎌ケ谷市,LAND_SQM,190000,145,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12225,君津市,FLOOR_SQM,138421,72,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12225,君津市,LAND_SQM,62791,77,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12226,富津市,FLOOR_SQM,68421,63,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12226,富津市,LAND_SQM,21277,65,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12227,浦安市,FLOOR_SQM,623641,80,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12227,浦安市,LAND_SQM,603030,82,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12228,四街道市,FLOOR_SQM,242857,89,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12228,四街道市,LAND_SQM,152632,95,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12229,袖ケ浦市,FLOOR_SQM,136966,64,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12229,袖ケ浦市,LAND_SQM,83871,67,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12230,八街市,FLOOR_SQM,55238,95,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12230,八街市,LAND_SQM,31184,98,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12231,印西市,FLOOR_SQM,360000,87,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12231,印西市,LAND_SQM,229412,92,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12232,白井市,FLOOR_SQM,255495,44,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12232,白井市,LAND_SQM,174597,44,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12233,富里市,FLOOR_SQM,118322,64,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12233,富里市,LAND_SQM,64516,65,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12234,南房総市,FLOOR_SQM,57143,57,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12234,南房総市,LAND_SQM,20735,58,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12235,匝瑳市,FLOOR_SQM,32727,15,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12235,匝瑳市,LAND_SQM,17308,15,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
